Food Items,Energy kcal,Carbs,Protein(g),Fat(g),Freesugar(g),Fibre(g),Cholestrol(mg),Calcium(mg),Consumption Tips
Quinoa khichdi/khichri,64.01,8.83,3.18,1.59,0.69,2.58,2.61,24.59,Light on the digestive system; suitable for those recovering from illness. | Include in evening meals for light yet satisfying nourishment.
Khakhra chaat,358.66,16.64,4.52,30.65,3.26,3.04,0.06,24.49,"Opt for smaller servings and pair with salads or raw vegetables for balance. | Best enjoyed fresh and as part of a varied, balanced daily diet."
Banana appam,469.81,20.06,1.17,42.53,9.95,0.67,0,13.74,Combining with a protein source makes this a more complete and satisfying meal. | Rich in fats — consume mindfully and balance with active movement during the day.
Veg manchurian,585.64,6.82,0.89,61.65,0.76,1.16,0,16.79,Pair with a glass of water or herbal tea for optimal digestive comfort. | Consider halving portion size if watching total caloric consumption.
Pav bhaji,96.53,11.99,2.66,4.32,2.06,1.98,8.91,24.86,"Best enjoyed fresh and as part of a varied, balanced daily diet. | Can be eaten generously without fear of calorie overload; great as a snack."
Rice murukku,593.99,33.29,5.41,48.22,0.17,2.18,5.32,24.63,Ideal when combined with seasonal vegetables for a wholesome meal. | Fresh preparation retains the most nutrients; avoid overcooking.
Bhel puri ,509.89,16.47,3.52,47.91,3.41,2.24,0,24.22,Rich in fats — consume mindfully and balance with active movement during the day. | Include in your weekly rotation to diversify your nutritional intake.
Semolina dhokla (Suji/Rava dhokla),194.91,30.86,5.44,5.2,1.85,5.12,0,31.17,Combining with a protein source makes this a more complete and satisfying meal. | Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load.
Spicy corn chaat ,479.8,11.45,4.61,46.55,0.95,2.17,3.89,17.28,Balance with lighter meals throughout the day to manage daily calorie intake. | Consume in moderate portions and savour mindfully for maximum enjoyment.
Jackfruit fritters (Ponsa mulik/Kathal ka pakora),597.79,24,2.34,54.41,11.48,1.5,0,24.62,Ideal when combined with seasonal vegetables for a wholesome meal. | Rich in fats — consume mindfully and balance with active movement during the day.
Banana chips (Kele ke chips),665.67,7.32,0.37,70.46,4.37,0.65,0,2.01,Works well as a side dish or main course depending on your daily energy needs. | Consider halving portion size if watching total caloric consumption.
Wheat cake,314.63,41.13,4.79,14.95,25.79,2.76,40.13,98.91,Moderate fat content — suitable for active individuals with higher energy demands. | Consume sparingly; high sugar content may spike blood glucose levels.
Mango cheesecake,152.46,20.06,2.39,7.3,15.36,1.14,16.9,55.1,A great option during festive occasions — just keep portions in check. | Works well as a side dish or main course depending on your daily energy needs.
Carrot cake (Gajar ka cake),255.59,35.98,5.6,10.27,23.96,2.93,11.61,156.1,Best enjoyed as a treat rather than a staple — pair with a protein to reduce sugar impact. | Works well as a side dish or main course depending on your daily energy needs.
Semolina cake (Suji/Rava cake),374.14,31.32,6.58,25.18,18.86,5.37,27.06,128.28,"Great as a midday meal to maintain healthy gut function and satiety. | Best enjoyed fresh and as part of a varied, balanced daily diet."
Finger millet cake (Ragi cake),279.46,38.93,3.96,12.27,24.76,2.35,25.2,118.38,Ideal when combined with seasonal vegetables for a wholesome meal. | Moderate fat content — suitable for active individuals with higher energy demands.
Honey cake,333.59,49.04,3.08,14.7,33.43,0.51,1.54,50.86,Include in your weekly rotation to diversify your nutritional intake. | Consume in moderate portions and savour mindfully for maximum enjoyment.
Almond cardamom cake (Badam elaichi cake),356.35,34.53,7.18,21.36,18.06,2.35,74.32,81.29,Moderate fat content — suitable for active individuals with higher energy demands. | Consume in moderate portions and savour mindfully for maximum enjoyment.
Tutti frutti cake,347.72,52.94,4.49,12.68,28.08,0.85,2.46,61.41,Pair with a glass of water or herbal tea for optimal digestive comfort. | Include in your weekly rotation to diversify your nutritional intake.
Ham and Bean soup,96.04,4.18,10.61,4.15,1.43,0.54,25.92,20.52,Pair with a glass of water or herbal tea for optimal digestive comfort. | A smart low-calorie option — ideal for weight management plans.
Whey soup,68.91,6.26,3.45,3.34,5.87,0.84,0.83,164.92,Combining with a protein source makes this a more complete and satisfying meal. | A great option during festive occasions — just keep portions in check.
Bottle gourd soup (Ghiya/Lauki soup),23.05,1.16,0.45,1.79,0.39,0.96,0.72,15.14,A great option during festive occasions — just keep portions in check. | Very low in fat — an excellent choice for heart-healthy and low-fat diets.
Baked potato soup,147.05,5.85,5.73,11.21,3.44,0.3,26.31,106.56,Pair with a glass of water or herbal tea for optimal digestive comfort. | Works well as a side dish or main course depending on your daily energy needs.
Pumpkin soup,40.05,2.08,0.47,3.2,1.47,1.19,0.86,12.17,Works well as a side dish or main course depending on your daily energy needs. | Consume in moderate portions and savour mindfully for maximum enjoyment.
Sweet corn soup,32.25,3.56,0.99,1.63,0.9,0.31,0,3.72,Include in your weekly rotation to diversify your nutritional intake. | Fresh preparation retains the most nutrients; avoid overcooking.
Paneer soup,47.85,2.42,3.22,2.8,1.98,0.28,0,82.76,Ideal when combined with seasonal vegetables for a wholesome meal. | Works well as a side dish or main course depending on your daily energy needs.
Curried Cauliflower soup,37.32,3.12,6.72,9.77,1.79,2.34,4.77,37.25,Ideal when combined with seasonal vegetables for a wholesome meal. | Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load.
Millet soup,55.99,8.22,11.26,12.57,1.45,2.82,1.45,65.21,Fresh preparation retains the most nutrients; avoid overcooking. | Consume in moderate portions and savour mindfully for maximum enjoyment.
Lemon coriander soup,108.06,10.32,2.27,6.26,2.2,6.77,0,102.57,A good addition for elderly individuals to maintain healthy bone density. | Fresh preparation retains the most nutrients; avoid overcooking.
Garlic soup,194.86,6.99,2.38,17.62,2.39,1.66,22.92,60.55,Pair with a glass of water or herbal tea for optimal digestive comfort. | Fresh preparation retains the most nutrients; avoid overcooking.
Dal makhani,74.04,7.96,3.32,3.06,0.8,2.27,7.25,20.62,Include in evening meals for light yet satisfying nourishment. | Pair with a glass of water or herbal tea for optimal digestive comfort.
Dalma,118.93,15.04,4.91,4.58,3.1,2.16,0,54.28,"Best enjoyed fresh and as part of a varied, balanced daily diet. | Fresh preparation retains the most nutrients; avoid overcooking."
Split bengal gram dal (Channa dal),99.67,9.99,4.15,4.62,0.98,3.72,8.53,21.99,Include in your weekly rotation to diversify your nutritional intake. | Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load.
Horsegram dal (Kulthi dal) ,55.65,8.21,2.91,1.13,0.72,1.52,0,38.22,Combining with a protein source makes this a more complete and satisfying meal. | Can be eaten generously without fear of calorie overload; great as a snack.
Panchmel dal,111.22,10.71,4.63,5.36,0.75,3.2,11.86,23.05,"Fresh preparation retains the most nutrients; avoid overcooking. | Best enjoyed fresh and as part of a varied, balanced daily diet."
Dal dhokli,68.74,8.55,2.96,2.47,1.12,1.86,0,14.54,Light on the digestive system; suitable for those recovering from illness. | Can be eaten generously without fear of calorie overload; great as a snack.
Gujarati handvo ,207.09,31.86,8.24,4.8,2.51,4.95,1.93,68.21,A good addition for elderly individuals to maintain healthy bone density. | Excellent choice for those managing cholesterol or blood sugar levels.
Sev (Omapodi/Karapusa),609.14,12.87,5.12,60.08,0.53,2.35,0,13.95,A great option during festive occasions — just keep portions in check. | Combining with a protein source makes this a more complete and satisfying meal.
Papdi,708.96,12.89,1.83,72.11,0.31,0.56,0,6.06,Opt for smaller servings and pair with salads or raw vegetables for balance. | Fresh preparation retains the most nutrients; avoid overcooking.
Jowar dosa,294.35,40.53,8.5,10.28,0.59,5.56,0,19.46,Works well as a side dish or main course depending on your daily energy needs. | Consume with plenty of water to support smooth digestion.
Bread roll,435.46,16.12,2.85,40.25,0.94,1.45,0,44.83,Pair with a glass of water or herbal tea for optimal digestive comfort. | Fresh preparation retains the most nutrients; avoid overcooking.
Soya seekh kebab,115.05,10,5.4,5.88,0.51,2.24,0,15.67,Fresh preparation retains the most nutrients; avoid overcooking. | Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load.
Classic seasoned black beans,28.78,7.66,8.01,8.28,0.44,3.51,0,40.11,"Ideal for breakfast or lunch to sustain energy and curb hunger longer. | Best enjoyed fresh and as part of a varied, balanced daily diet."
Maa chaane ki dal,344.67,43.11,19.8,9.5,1.05,13.45,15.36,68.65,Pair with complex carbs for a complete and balanced macronutrient meal. | Ideal when combined with seasonal vegetables for a wholesome meal.
Garlic chickpea soup (Lahasun aur chane ka shoraba),89.53,13.92,4.45,2.01,2.65,2.84,0,13.93,Consume in moderate portions and savour mindfully for maximum enjoyment. | Pair with a glass of water or herbal tea for optimal digestive comfort.
White sauce (thin),115.17,6.58,3.31,8.41,4.58,0.07,11.04,110.2,"Best enjoyed fresh and as part of a varied, balanced daily diet. | Ideal when combined with seasonal vegetables for a wholesome meal."
White sauce (medium),151.27,7.98,3.36,11.76,4.32,0.14,20.47,103.53,Pair with Vitamin D sources like sunlight or eggs for better calcium absorption. | Pair with a glass of water or herbal tea for optimal digestive comfort.
White sauce (thick),209.69,10.24,3.43,17.19,3.9,0.24,35.72,92.74,Pair with a glass of water or herbal tea for optimal digestive comfort. | A good addition for elderly individuals to maintain healthy bone density.
Cheese sauce,194.76,7.08,7.68,15.12,4.53,0.12,39.75,255.14,Consume in moderate portions and savour mindfully for maximum enjoyment. | A great option during festive occasions — just keep portions in check.
Egg sauce,146.85,5.88,5.97,11.08,3.19,0.12,111.08,89.49,Moderate fat content — suitable for active individuals with higher energy demands. | Fresh preparation retains the most nutrients; avoid overcooking.
Mushroom sauce,137.56,7.31,3.39,10.51,3.86,0.47,18.2,94.1,A great option during festive occasions — just keep portions in check. | Ideal when combined with seasonal vegetables for a wholesome meal.
Mustard sauce,158.58,8.29,3.98,12.17,4.22,0.13,19.97,109.03,A great option during festive occasions — just keep portions in check. | A good addition for elderly individuals to maintain healthy bone density.
Brown sauce,109.18,5.38,11.92,23.67,0.13,1.69,0,40.44,Rich in fats — consume mindfully and balance with active movement during the day. | Pair with complex carbs for a complete and balanced macronutrient meal.
Classic italian pasta,42.12,4.4,0.57,2.45,2.94,1.36,1.7,19.55,Light on the digestive system; suitable for those recovering from illness. | A great option during festive occasions — just keep portions in check.
Pasta spinach sauce,85.46,1.76,1.76,7.9,1.04,0.86,9.34,58.57,"Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load. | Best enjoyed fresh and as part of a varied, balanced daily diet."
Pasta cheese sauce,149.26,9,4.33,10.84,4.22,0.14,22.22,152.68,A great option during festive occasions — just keep portions in check. | Fresh preparation retains the most nutrients; avoid overcooking.
Mayonnaise,774.86,1.65,1.86,84.52,1.44,0.11,117.12,15.36,Fresh preparation retains the most nutrients; avoid overcooking. | Works well as a side dish or main course depending on your daily energy needs.
Low calorie quick mayonnaise,242.89,4.71,1.41,24.35,0.83,0.06,35.67,6.47,Works well as a side dish or main course depending on your daily energy needs. | Rich in fats — consume mindfully and balance with active movement during the day.
Thousand island dressing,407.87,4.49,1.37,42.87,3.1,0.46,34,9.11,Consider halving portion size if watching total caloric consumption. | Enjoy in controlled portions; best reserved as an occasional indulgence.
Curd dip,79.95,7.95,5.04,3.36,7.12,0.1,10.59,167.17,Include in your weekly rotation to diversify your nutritional intake. | Excellent for bone and dental health — especially beneficial for growing children.
Short crust pastry,422.1,44.72,6.11,23.98,3.18,1.58,61,16.9,Opt for smaller servings and pair with salads or raw vegetables for balance. | Include in your weekly rotation to diversify your nutritional intake.
Choux pastry,222.37,16.2,5.55,14.96,1.5,0.56,125.01,19.43,A great option during festive occasions — just keep portions in check. | Works well as a side dish or main course depending on your daily energy needs.
